RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
87,Uttar Pradesh,FAIZABAD,2018,Kharif,Small millets,70,58
88,West Bengal,NADIA,2018,Rabi,Potato,7073,193100
89,Tamil Nadu,DINDIGUL,2019,Whole Year,Coconut,29478,574900000
90,Karnataka,BELLARY,2017,Whole Year,Sugarcane,2464,238762
91,Chhattisgarh,BEMETARA,2021,Rabi,Wheat,11859,11412
92,Nagaland,TUENSANG,2007,Kharif,Soyabean,1700,1900
93,Assam,GOALPARA,2010,Whole Year,Sugarcane,102,3715
94,Tamil Nadu,TIRUVANNAMALAI,2018,Kharif,Rice,125490,357692
95,Andhra Pradesh,ANANTAPUR,2019,Kharif,Arhar/Tur,51728,4293
96,Assam,TINSUKIA,2014,Kharif,Niger seed,65,31
97,Karnataka,CHITRADURGA,2005,Rabi,Wheat,518,381
98,Odisha,SUNDARGARH,2018,Summer,Wheat,806,1412.7
99,Odisha,BARGARH,2011,Kharif,Sesamum,1054,184
100,Uttar Pradesh,HATHRAS,2006,Kharif,Bajra,36744,53351
101,Uttar Pradesh,JALAUN,2011,Kharif,Moong(Green Gram),1180,221
102,Andhra Pradesh,ANANTAPUR,2007,Rabi,Linseed,12,1
103,Uttar Pradesh,SANT KABEER NAGAR,2007,Rabi,Rapeseed &Mustard,2043,2343
104,Uttarakhand,RUDRA PRAYAG,2016,Kharif,Ragi,6504,10941
105,Telangana,RANGAREDDI,2009,Kharif,Maize,8828,17877
106,Uttar Pradesh,FAIZABAD,2021,Kharif,Sesamum,60,9
107,Madhya Pradesh,MORENA,2007,Rabi,Linseed,20,11
108,Uttar Pradesh,BALRAMPUR,2014,Rabi,Rapeseed &Mustard,16802,16315
109,Himachal Pradesh,KULLU,2013,Whole Year,Potato,1300,6535
110,Uttar Pradesh,KUSHI NAGAR,2010,Summer,Onion,36,403
111,Odisha,JAJAPUR,2006,Winter,Horse-gram,2586,1190
112,Gujarat,JAMNAGAR,2019,Whole Year,Garlic,9600,57700
113,Tamil Nadu,COIMBATORE,2006,Kharif,Ragi,510,1271
114,Telangana,RANGAREDDI,2015,Rabi,Onion,2000,36000
115,Maharashtra,BULDHANA,2015,Rabi,Safflower,42,29
116,Tamil Nadu,ERODE,2007,Kharif,Sunflower,600,689
117,Madhya Pradesh,KATNI,2011,Whole Year,Brinjal,303,0
118,Rajasthan,KARAULI,2007,Rabi,Linseed,16,10
119,Odisha,DEOGARH,2019,Summer,Urad,5,1.9
120,Bihar,PATNA,2015,Winter,Rice,86036,90805
121,Uttar Pradesh,CHANDAULI,2018,Kharif,Guar seed,19,16
122,Madhya Pradesh,RAISEN,2013,Kharif,Arhar/Tur,22280,14082
123,Uttar Pradesh,MAHARAJGANJ,2011,Rabi,Rapeseed &Mustard,4454,4176
124,Bihar,KHAGARIA,2005,Kharif,Other Kharif pulses,369,231
125,Karnataka,CHITRADURGA,2007,Kharif,Niger seed,466,137
126,Uttar Pradesh,BAREILLY,2008,Rabi,Gram,123,105
127,Uttar Pradesh,KANPUR DEHAT,2011,Kharif,Sunflower,16,27
128,Rajasthan,DHOLPUR,2018,Whole Year,Sannhamp,3,3
129,Rajasthan,JHUNJHUNU,2006,Kharif,Bajra,247217,225383
130,Uttar Pradesh,KANPUR DEHAT,2015,Rabi,Masoor,500,303
131,Karnataka,UTTAR KANNAD,2015,Whole Year,Coconut,7415,38738
132,Arunachal Pradesh,UPPER SIANG,2010,Kharif,Maize,950,1100
133,Tamil Nadu,RAMANATHAPURAM,2018,Kharif,Horse-gram,1,
134,Mizoram,KOLASIB,2013,Kharif,Groundnut,3,2
135,Himachal Pradesh,BILASPUR,2006,Kharif,Small millets,1,
136,Bihar,KATIHAR,2012,Whole Year,Sweet potato,44,537
137,Uttarakhand,NAINITAL,2013,Rabi,Masoor,454,232
138,Rajasthan,AJMER,2009,Kharif,Moong(Green Gram),61145,17827
139,Odisha,GAJAPATI,2015,Winter,Groundnut,1,1
140,Madhya Pradesh,VIDISHA,2009,Rabi,Gram,204384,206837
141,Haryana,SIRSA,2017,Rabi,Barley,9235,30000
142,Karnataka,BANGALORE RURAL,2013,Whole Year,Tapioca,10,73
143,Odisha,BOUDH,2017,Autumn,Maize,360,279.7
144,Chhattisgarh,KANKER,2016,Rabi,Moong(Green Gram),93,26
145,Maharashtra,KOLHAPUR,2020,Kharif,Castor seed,600,100
146,Karnataka,BIDAR,2015,Kharif,Soyabean,14782,15237
147,Manipur,TAMENGLONG,2011,Whole Year,Jack Fruit,5,23
148,Meghalaya,WEST KHASI HILLS,2020,Rabi,Tobacco,39,56
149,Andhra Pradesh,VIZIANAGARAM,2020,Kharif,Pome Granet,5,67
150,Odisha,KENDUJHAR,2009,Rabi,Masoor,1970,770
151,Haryana,PANCHKULA,2016,Rabi,Gram,733,1000
152,Uttar Pradesh,ALLAHABAD,2008,Kharif,Maize,211,447
153,Karnataka,MYSORE,2005,Kharif,Ragi,90302,133034
154,Madhya Pradesh,CHHINDWARA,2017,Whole Year,Rice,18751,14240
155,Maharashtra,DHULE,2021,Rabi,Gram,42300,53260
156,Odisha,SUNDARGARH,2018,Winter,Rice,118000,108000
157,Uttarakhand,HARIDWAR,2009,Whole Year,Onion,9,90
158,Bihar,SHEIKHPURA,2020,Rabi,Maize,68,233
159,Haryana,SONIPAT,2013,Whole Year,Sugarcane,12781,860000
160,Uttar Pradesh,BAHRAICH,2006,Whole Year,Onion,443,5349
161,Madhya Pradesh,BURHANPUR,2013,Whole Year,Onion,357,12442
162,Karnataka,KOLAR,2020,Kharif,Small millets,70,34
163,Uttar Pradesh,SANT RAVIDAS NAGAR,2022,Summer,Moong(Green Gram),27,18
164,Uttarakhand,PITHORAGARH,2022,Rabi,Rapeseed &Mustard,827,705
165,Madhya Pradesh,GWALIOR,2019,Kharif,Barley,936,3421
